family,position_set,n_unique_positions,n_background_residues,iterations,seed,observed_mean_percentile,observed_median_percentile,random_mean_percentile_mean,random_mean_percentile_sd,empirical_p_value_lower_tail,effect_observed_minus_random_mean
ACCase,all,6,1328,10000,20260704,10.680221,9.525602,49.808384,11.793597,0.000200,-39.128163
ACCase,non_core_only,4,1328,10000,20260704,14.439006,11.596386,49.864507,14.487201,0.004300,-35.425501
ALS,all,3,582,10000,20260704,4.639175,4.639175,50.283958,16.514227,0.000200,-45.644782
EPSPS,all,1,443,10000,20260704,12.866817,12.866817,50.637991,28.681304,0.124188,-37.771174
EPSPS,non_core_only,1,443,10000,20260704,12.866817,12.866817,50.302099,28.823523,0.129687,-37.435282
PPO,all,4,465,10000,20260704,8.010753,5.483871,50.103457,14.268534,0.000300,-42.092704
PPO,non_core_only,3,465,10000,20260704,10.394265,8.172043,49.866409,16.510333,0.005000,-39.472143
